LakeID,OfficialName,Town,LakeRegion,LakeArea,BasinArea,Elevation,MaxDepth,MeanDepth,OutletType,locationName,locationType,centerLatitude,centerLongitude
KENNY,Kenny Pond,Newfane,Green Mtn South,26,239,1250,11,,NATURAL with ARTIFICIAL CONTROL,Kenny Pond Newfane,Lake (Artificial Control),42.98,-72.7
KENT,Kent Pond,Killington,West Central,99,2376,1525,15,6,ARTIFICIAL,Kent Pond Killington,Reservoir,43.68,-72.8
KENT HOLLOW,Unnamed Pond referred to by DEC as Kent Hollow,Sandgate,Green Mtn South,10,579,1470,,,,Kent Hollow Pond Sandgate,Pond,43.2,-73.2
KETTLE,Kettle Pond,Groton,North Central,109,834,1443,16,6,NATURAL,Kettle Pond Groton,Pond,44.2947817,-72.3181558
KEYSER,Unnamed Pond referred to by DEC as Keyser,Chelsea,East Central,7,532,1170,,,,Keyser Pond Chelsea,Pond,43.95,-72.43
KIDDER (IRABRG),Kidder Pond,Irasburg,NE Kingdom,16,216,1170,,,,Kidder Pond Irasburg,Pond,44.87,-72.32
KIDDER (STRTON),Unnamed Pond referred to by DEC as Kidder,Stratton,Green Mtn South,,,1750,,,,Kidder Pond Stratton,Pond,43.05,-72.88
KINGS,Kings Pond,Rochester,East Central,4,17,1010,,,,Kings Pond Rochester,Pond,43.8606204,-72.8726085
KINGS HILL,Kings Hill Pond,Bakersfield,Champlain ,6,145,1090,,,,Kings Hill Pond Bakersfield,Pond,44.7369933,-72.784017
KINGSTON,Unnamed Pond referred to by DEC as Kingston,Jamaica,Green Mtn South,,,1390,,,,Kingston Pond Jamaica,Pond,43.08,-72.78
KIPLING,Unnamed Pond referred to by DEC as Kipling,Brattleboro,Green Mtn South,,,660,,,,Kipling Pond Brattleboro,Pond,42.9,-72.58
KIRBY,Kirby Pond,Kirby,NE Kingdom,10,326,1610,,,,Kirby Pond Kirby,Pond,44.509223,-71.9156493
KIRBY-W,Unnamed Pond referred to by DEC as Kerby - W,Kirby,NE Kingdom,,,1650,,,,Kerby - W Pond Kirby,Pond,44.5,-71.93
KNAPP BROOK #1,Knapp Brook #1,Cavendish,East Central,25,2074,1270,12,6,ARTIFICIAL,Knapp Brook #1 Pond Cavendish,Reservoir,43.447016,-72.5662041
KNAPP BROOK #2,Knapp Brook #2,Cavendish,East Central,35,1869,1290,20,9,ARTIFICIAL,Knapp Brook #2 Pond Cavendish,Reservoir,43.45,-72.57
KNOB,Unnamed Pond referred to by DEC as Knob,Eden,North Central,,,1170,,,,Knob Pond Eden,Pond,44.73,-72.53
KNOB HILL,Knob Hill Pond,Marshfield,North Central,16,137,1210,,,,Knob Hill Pond Marshfield,Pond,44.3603354,-72.3737148
LAIRD,Laird Pond,Marshfield,North Central,12,2637,1126,,,,Laird Pond Marshfield,Pond,44.3,-72.37
LAKE-OF-THE-CLOUDS,Lake-Of-The-Clouds,Cambridge,Champlain ,1,1,3930,,,NATURAL,Lake-Of-The-Clouds Cambridge,Lake,44.5483849,-72.8106793
LAKOTA,Lakota Lake,Barnard,West Central,20,385,1899,11,,NATURAL with ARTIFICIAL CONTROL,Lakota Lake Barnard,Lake (Artificial Control),43.68,-72.65
LAMOILLE,Lake Lamoille,Morristown,North Central,148,170146,540,15,5,ARTIFICIAL,Lake Lamoille Morristown,Reservoir,44.57,-72.62
LAMSON,Lamson Pond,Brookfield,East Central,24,230,1590,,,NATURAL,Lamson Pond Brookfield,Pond,44.0633967,-72.612606
LANDFILL,Unnamed Pond referred to by DEC as Landfill,Eden,North Central,7,34,1250,,,,Landfill Pond Eden,Pond,44.7,-72.53
LANDGROVE,Unnamed Pond referred to by DEC as Landgrove,Landgrove,Green Mtn South,14,,1745,,,,Landgrove Pond Landgrove,Pond,43.28,-72.83
LANPHER MEADOW,Lanpher Meadow,Eden,North Central,6,423,1310,,,,Lanpher Meadow Pond Eden,Pond,44.72,-72.6
LAUREL,Laurel Lake,Whitingham,Green Mtn South,16,76,1630,17,,NATURAL,Laurel Lake Whitingham,Lake,42.8195263,-72.8181517
LEECH,Leech Pond,Woodbury,North Central,4,134,1050,,,,Leech Pond Woodbury,Pond,44.421167,-72.4306625
LEFFERTS,Lefferts Pond,Chittenden,West Central,55,3814,1501,8,,ARTIFICIAL,Lefferts Pond Chittenden,Reservoir,43.7156223,-72.901773
LEIGHTON HILL,Unnamed Pond referred to by DEC as Leighton Hill,Newbury,East Central,6,213,890,,,,Leighton Hill Pond Newbury,Pond,44.13,-72.12
LEVI,Levi Pond,Groton,North Central,22,152,1632,23,8,NATURAL,Levi Pond Groton,Pond,44.2672827,-72.2262078
LEWIN,Lewin Pond,Norwich,East Central,4,24,490,,,,Lewin Pond Norwich,Pond,43.7720148,-72.2164784
LEWIS,Lewis Pond,Lewis,NE Kingdom,68,1254,1830,8,4,NATURAL,Lewis Pond Lewis,Pond,44.8833812,-71.7806495
LIGHT TROUT CLUB,Light Trout Club Lake,Moretown,North Central,7,2173,690,,,,Light Trout Club Lake Moretown,Pond,44.28,-72.75
LILY (ATHENS),Lily Pond,Athens,Green Mtn South,12,159,1430,,,,Lily Pond Athens,Pond,43.08,-72.6
LILY (CASLTN),Lily Pond,Castleton,West Central,9,70,568,,,,Lily Pond Castleton,Pond,43.6764538,-73.2140004
LILY (LONDRY),Lily Pond,Londonderry,Green Mtn South,21,297,1490,8,,NATURAL,Lily Pond Londonderry,Pond,43.2345197,-72.7506517
LILY (LYNDON),Lily Pond,Lyndon,NE Kingdom,8,26,810,,,,Lily Pond Lyndon,Pond,44.5231114,-71.9914843
LILY (NORWCH),Lily Pond,Norwich,East Central,6,57,470,,,,Lily Pond Norwich,Pond,43.7425706,-72.2556457
LILY (POULTY),Lily Pond,Poultney,West Central,22,1288,484,7,4,NATURAL,Lily Pond Poultney,Pond,43.4950694,-73.2073303
LILY (THETFD),Unnamed Pond referred to by DEC as Lily,Thetford,East Central,19,283,852,,,,Lily Pond Thetford,Pond,43.82,-72.28
LILY (VERNON),Lily Pond,Vernon,Green Mtn South,41,463,371,13,,NATURAL,Lily Pond Vernon,Pond,42.7370275,-72.5089777
LILY PAD,Lily Pad Pond,Colchester,Champlain ,2,76,310,,,,Lily Pad Pond Colchester,Pond,44.5078268,-73.1617945
LIMEHURST,Limehurst Pond,Williamstown,East Central,13,597,901,,,NATURAL,Limehurst Pond Williamstown,Pond,44.1017296,-72.5495492
LINE (BARNRD),Line Pond,Barnard,West Central,10,110,1350,,,,Line Pond Barnard,Pond,43.7175684,-72.5675971
LINE (HOLLND),Line Pond,Holland,NE Kingdom,5,115,1610,,,,Line Pond Holland,Pond,45.0072684,-71.9148182
LITTLE (CALAIS),Little Pond,Calais,North Central,7,230,1190,,,,Little Pond Calais,Pond,44.3861679,-72.438162
LITTLE (ELMORE),Little Pond,Elmore,North Central,14,102,1410,,,,Little Pond Elmore,Pond,44.4592215,-72.4970544
LITTLE (FRANLN),Little Pond,Franklin,Champlain ,95,591,673,8,,NATURAL,Little Pond Franklin,Pond,44.9569897,-72.8284682
LITTLE (WELLS),Little Pond,Wells,West Central,162,8989,484,5,4,NATURAL with ARTIFICIAL CONTROL,Little Pond Wells,Lake (Artificial Control),43.4322933,-73.2028855
LITTLE (WINHLL),Little Pond,Winhall,Green Mtn South,18,133,2390,,,NATURAL,Little Pond Winhall,Pond,43.1231326,-72.9434346
LITTLE (WOODFD),Little Pond,Woodford,Green Mtn South,16,323,2602,8,,NATURAL with ARTIFICIAL CONTROL,Little Pond Woodford,Lake (Artificial Control),42.9250793,-73.0645484
LITTLE AVERILL,Little Averill Pond,Averill,NE Kingdom,467,2854,1740,115,52,NATURAL with ARTIFICIAL CONTROL,Little Averill Pond Averill,Lake (Artificial Control),44.9556024,-71.7162039
LITTLE ELIGO,Little Eligo Pond,Hardwick,North Central,15,653,870,,,,Little Eligo Pond Hardwick,Pond,44.5783858,-72.36344
LITTLE ELMORE,Little Elmore Pond,Elmore,North Central,24,316,1223,15,,NATURAL,Little Elmore Pond Elmore,Pond,44.4978315,-72.5317787
LITTLE HOSMER,Little Hosmer Pond,Craftsbury,North Central,180,1792,1066,9,4,NATURAL with ARTIFICIAL CONTROL,Little Hosmer Pond Craftsbury,Lake (Artificial Control),44.68,-72.38
LITTLE MUD (GRANBY),Little Mud Pond,Granby,NE Kingdom,2,3,2130,,,,Little Mud Pond Granby,Pond,44.5614442,-71.6956446
LITTLE MUD (MTTABR),Little Mud Pond,Mount Tabor,West Central,7,330,2579,,,,Little Mud Pond Mount Tabor,Pond,43.3159069,-72.9376021
LITTLE MUD (WINHLL),Little Mud Pond,Winhall,Green Mtn South,21,83,2270,,,,Little Mud Pond Winhall,Pond,43.1347989,-72.9831581
LITTLE MUD (WOODBY),Little Mud Pond,Woodbury,North Central,10,160,1390,,,,Little Mud Pond Woodbury,Pond,44.38,-72.38
LITTLE ROCK,Little Rock Pond,Wallingford,West Central,18,196,1854,,,NATURAL,Little Rock Pond Wallingford,Pond,43.4006275,-72.9562145
LITTLE WHEELER,Little Wheeler Pond,Brunswick,NE Kingdom,9,4224,990,6,,,Little Wheeler Pond Brunswick,Pond,44.7161616,-71.6331443
LOCKWOOD,Lockwood Pond,Lowell,North Central,1,38,2610,,,,Lockwood Pond Lowell,Pond,44.8,-72.55
LONG (EDEN),Long Pond (Belvidere Pond),Eden,North Central,97,723,1137,6,3,NATURAL,Long Pond Eden,Pond,44.77,-72.6
LONG (GRNSBO),Long Pond,Greensboro,North Central,100,1910,1590,33,15,NATURAL,Long Pond Greensboro,Pond,44.6256073,-72.263437
LONG (MILTON),Long Pond,Milton,Champlain ,47,431,315,36,,NATURAL,Long Pond Milton,Pond,44.6733793,-73.191521
LONG (NEWBRY),Long Pond,Newbury,East Central,15,242,1390,,,,Long Pond Newbury,Pond,44.1047865,-72.166482
LONG (SHEFLD),Long Pond,Sheffield,North Central,38,204,1682,30,,NATURAL,Long Pond Sheffield,Pond,44.6767178,-72.1437116
LONG (WESTMR),Long Pond,Westmore,NE Kingdom,90,732,1835,74,29,NATURAL,Long Pond Westmore,Pond,44.7506056,-72.0178751
LONG HOLE,Long Hole,Mount Tabor,West Central,1,2054,2540,,,NATURAL,Long Hole Pond Mount Tabor,Pond,43.3,-72.95
LONG MEADOW,Unnamed Pond referred to by DEC as Long Meadow,Calais,North Central,7,176,1530,,,,Long Meadow Pond Calais,Pond,44.35,-72.53
LOST (BELVDR),Lost Pond,Belvidere,Champlain ,3,49,2350,,,,Lost Pond Belvidere,Pond,44.7906038,-72.6476214
LOST (GEORGA),Lost Lake,Georgia,Champlain ,10,121,530,,,,Lost Lake Georgia,Lake,44.7683798,-73.0926385
LOST (GLASBY),Lost Pond,Glastenbury,Green Mtn South,1,65,2950,,,,Lost Pond Glastenbury,Pond,42.9445236,-73.052326
LOST (MTTABR),Lost Pond,Mount Tabor,West Central,,,2706,,,,Lost Pond Mount Tabor,Pond,43.3406287,-72.9417691
LOST (SUNDLD),Lost Pond,Sunderland,Green Mtn South,2,299,2630,,,,Lost Pond Sunderland,Pond,43.040078,-73.0270479
LOVES MARSH,Loves Marsh,Castleton,West Central,62,1159,414,,,ARTIFICIAL,Loves Marsh Pond Castleton,Reservoir,43.67,-73.2
LOWELL,Lowell Lake,Londonderry,Green Mtn South,109,1313,1330,22,,NATURAL with ARTIFICIAL CONTROL,Lowell Lake Londonderry,Lake (Artificial Control),43.22,-72.77
LOWER,Lower Pond (Lake Sunset),Hinesburg,Champlain ,58,3461,661,10,5,ARTIFICIAL,Lower Pond Hinesburg,Reservoir,44.35,-73.08
LOWER HURRICANE,Lower Hurricane Reservoir,Hartford,East Central,7,105,1047,,,,Lower Hurricane Reservoir Hartford,Reservoir,43.65,-72.37
LOWER MOORE,Lower Moore Pond,Plymouth,West Central,5,238,1510,,,,Lower Moore Pond Plymouth,Pond,43.52,-72.72
LOWER ORANGE,Lower Orange Reservoir,Orange,North Central,8,7082,1190,,,,Lower Orange Reservoir Orange,Reservoir,44.17,-72.42
LOWER SYMES,Lower Symes Pond,Ryegate,North Central,57,2636,810,9,,NATURAL,Lower Symes Pond Ryegate,Pond,44.25,-72.1
LOWER WINOOSKI,Unnamed Pond referred to by DEC as Lower Winooski,Winooski,Champlain ,4,195,290,,,,Lower Winooski Pond Winooski,Pond,44.5,-73.17
LOWER WORCESTER,Worcester Pond - Lower,Worcester,North Central,35,943,1067,8,,ARTIFICIAL,Worcester Pond - Lower Worcester,Reservoir,44.4,-72.53
LYE,Unnamed Pond referred to by DEC as Lye,Winhall,Green Mtn South,,,2295,,,,Lye Pond Winhall,Pond,43.13,-72.98
LYE BROOK-N,Unnamed Pond referred to by DEC as Lye Brook - N,Sunderland,Green Mtn South,10,96,2610,,,,Lye Brook - N Pond Sunderland,Pond,43.1,-73.03
LYE BROOK-S,Unnamed Pond referred to by DEC as Lye Brook - S,Sunderland,Green Mtn South,18,253,2610,,,,Lye Brook - S Pond Sunderland,Pond,43.08,-73.03
LYFORD,Lyford Pond,Walden,North Central,33,299,1683,22,8,NATURAL,Lyford Pond Walden,Pond,44.4456114,-72.2467681
LYMAN HILL,Unnamed Pond referred to by DEC as Lyman Hill,Marlboro,Green Mtn South,9,411,1545,,,,Lyman Hill Pond Marlboro,Pond,42.87,-72.73
MACKVILLE,Mackville Pond,Hardwick,North Central,11,2099,930,,,,Mackville Pond Hardwick,Reservoir,44.48,-72.37
MADELEINE,Lake Madeleine,Sandgate,Green Mtn South,20,100,2175,,11,ARTIFICIAL,Lake Madeleine Sandgate,Reservoir,43.17,-73.15
MAIDSTONE,Maidstone Lake,Maidstone,NE Kingdom,745,3103,1303,121,46,NATURAL with ARTIFICIAL CONTROL,Maidstone Lake Maidstone,Lake (Artificial Control),44.6486637,-71.6470329
MALLETT,Unnamed Pond referred to by DEC as Mallett,Milton,Champlain ,,,295,,,,Mallett Pond Milton,Pond,44.58,-73.12
MANCHESTERS,Unnamed Pond referred to by DEC as Manchesters,Thetford,East Central,6,223,802,,,,Manchesters Pond Thetford,Pond,43.8,-72.28
MANSFIELD,Lake Mansfield,Stowe,North Central,38,1557,1140,18,11,ARTIFICIAL,Lake Mansfield Stowe,Reservoir,44.47,-72.82
MARL,Marl Pond,Sutton,NE Kingdom,10,256,1570,,,,Marl Pond Sutton,Pond,44.7003288,-72.0600983
MARLBORO-431,Unnamed Pond referred to by DEC as Marlboro - 431,Marlboro,Green Mtn South,10,1693,1415,,,,Marlboro - 431 Pond Marlboro,Pond,42.88,-72.72
MARTIN,Unnamed Pond referred to by DEC as Martin,Williamstown,East Central,28,886,1390,,,,Martin Pond Williamstown,Pond,44.15,-72.57
MARTINS,Martins Pond,Peacham,North Central,82,803,1548,17,11,NATURAL with ARTIFICIAL CONTROL,Martins Pond Peacham,Lake (Artificial Control),44.3,-72.22
MATHEWSON,Unnamed Pond referred to by DEC as Mathewson,Sheffield,North Central,,,1665,,,,Mathewson Pond Sheffield,Pond,44.62,-72.07
MAY,May Pond,Barton,NE Kingdom,116,1087,1647,31,9,NATURAL with ARTIFICIAL CONTROL,May Pond Barton,Lake (Artificial Control),44.7417164,-72.1228779
MCALLISTER,McAllister Pond,Lowell,North Central,25,533,1290,7,,NATURAL,McAllister Pond Lowell,Pond,44.83,-72.48
MCCONNELL,McConnell Pond,Brighton,NE Kingdom,87,3621,1274,18,,NATURAL,McConnell Pond Brighton,Pond,44.8189378,-71.8039827
MCGOWAN-E,Unnamed Pond referred to by DEC as McGowan - E,Highgate,Champlain ,18,713,580,,,,McGowan - E Pond Highgate,Pond,44.93,-72.92
MCGOWAN-W,Unnamed Pond referred to by DEC as McGowan - W,Highgate,Champlain ,10,252,580,,,,McGowan - W Pond Highgate,Pond,44.93,-72.92
MCINTOSH,McIntosh Pond,Royalton,East Central,23,606,990,15,,ARTIFICIAL,McIntosh Pond Royalton,Reservoir,43.82,-72.48
MECAWEE,Mecawee Pond,Reading,East Central,11,852,1430,,,,Mecawee Pond Reading,Pond,43.55,-72.63
MEMPHREMAGOG,Lake Memphremagog,Newport Town,NE Kingdom,5966,416320,682,351,21,NATURAL with ARTIFICIAL CONTROL,Lake Memphremagog Newport Town,Lake (Artificial Control),44.9853239,-72.2151023
METCALF,Metcalf Pond,Fletcher,Champlain ,81,801,729,25,7,NATURAL,Metcalf Pond Fletcher,Pond,44.7283824,-72.8840236
MIDDLE WOODBURY,Unnamed Pond referred to by DEC as Middle Woodbury,Woodbury,North Central,9,992,1150,,,,Middle Woodbury Pond Woodbury,Pond,44.43,-72.43
MILE,Mile Pond,Ferdinand,NE Kingdom,26,156,1240,12,,NATURAL,Mile Pond Ferdinand,Pond,44.7778273,-71.799538
MILES,Miles Pond,Concord,NE Kingdom,215,4158,1026,55,20,NATURAL with ARTIFICIAL CONTROL,Miles Pond Concord,Lake (Artificial Control),44.45,-71.82
MILL (BENSON),Mill Pond (Parsons Mill Pond),Benson,West Central,39,14063,225,8,,ARTIFICIAL,Mill Pond Benson,Reservoir,43.7053415,-73.2823356
MILL (WINDSR),Mill Pond (Kennedys Pond),Windsor,East Central,77,28071,383,26,,ARTIFICIAL,Mill Pond Windsor,Reservoir,43.4711828,-72.3967575
MILL (WOODFD),Mill Pond,Woodford,Green Mtn South,7,988,2050,,,,Mill Pond Woodford,Pond,42.9192463,-73.0273252
MILLER (ARLTON),Unnamed Pond referred to by DEC as Miller,Arlington,Green Mtn South,11,3636,762,,,,Miller Pond Strafford,Lake (Artificial Control),43.892568,-72.3053715
MILLER (STRFRD),Miller Pond,Strafford,East Central,64,664,1323,32,8,NATURAL with ARTIFICIAL CONTROL,Miller Pond Arlington,Pond,43.9,-72.3
MILTON,Milton Pond,Milton,Champlain ,24,267,834,13,,NATURAL with ARTIFICIAL CONTROL,Milton Pond Milton,Lake (Artificial Control),44.6347709,-73.0631899
MINARDS,Minards Pond,Rockingham,Green Mtn South,46,202,613,46,,NATURAL with ARTIFICIAL CONTROL,Minards Pond Rockingham,Lake (Artificial Control),43.15,-72.47
MINK,Unnamed Pond referred to by DEC as Mink,Enosburgh,Champlain ,,,1125,,,,Mink Pond Enosburgh,Pond,44.9,-72.72
MINSEY,Unnamed Pond referred to by DEC as Minsey,Albany,North Central,8,115,1690,,,,Minsey Pond Albany,Pond,44.72,-72.28
MIRROR,Mirror Lake (No. 10 Pond),Calais,North Central,85,3349,1047,106,43,NATURAL with ARTIFICIAL CONTROL,Lake Mirror Calais,Lake (Artificial Control),44.4,-72.45
MITCHELL,Lake Mitchell,Sharon,East Central,28,4652,900,16,,ARTIFICIAL,Lake Mitchell Sharon,Reservoir,43.75,-72.4
MOLLYS,Mollys Pond,Cabot,North Central,38,1320,1631,28,,NATURAL,Mollys Pond Cabot,Pond,44.3939461,-72.2359332
MOLLYS FALLS,Mollys Falls Reservoir,Cabot,North Central,397,14600,1230,35,18,ARTIFICIAL,Mollys Falls Reservoir Cabot,Reservoir,44.35,-72.28
MOORE,Moore Reservoir,Waterford,NE Kingdom,1235,293580,800,,,ARTIFICIAL,Moore Reservoir Waterford,Reservoir,44.33,-71.87
MOOSE,Unnamed Pond referred to by DEC as Moose,Morgan,NE Kingdom,10,941,1290,,,,Moose Pond Morgan,Pond,44.87,-71.92
MOREY,Lake Morey,Fairlee,East Central,547,5101,416,43,24,NATURAL with ARTIFICIAL CONTROL,Lake Morey Fairlee,Lake (Artificial Control),43.9247901,-72.1498123
MORRISVILLE,Unnamed Pond referred to by DEC as Morrisville,Morristown,North Central,8,4465,620,,,,Morrisville Pond Morristown,Pond,44.55,-72.6
MOSCOW,Moscow Pond,Hubbardton,West Central,3,111,710,,,,Moscow Pond Hubbardton,Pond,43.6839534,-73.2365009
MOSES,Moses Pond,Weston,West Central,12,105,2230,,,,Moses Pond Weston,Pond,43.33424,-72.8428774
MOSLEY,Unnamed Pond referred to by DEC as Mosley,Hartford,East Central,,,1030,,,,Mosley Pond Hartford,Pond,43.7,-72.33
MOUNT TABOR,Unnamed Pond referred to by DEC as Mount Tabor,Mount Tabor,West Central,,,2375,,,,Mount Tabor Pond Mount Tabor,Pond,43.38,-72.87
MT. SNOW,Unnamed Pond referred to by DEC as Mt. Snow,Dover,Green Mtn South,,,1685,,,,Mt. Snow Pond Dover,Pond,42.97,-72.88
MUD (BENSON),Mud Pond,Benson,West Central,8,129,492,,,,Mud Pond Benson,Pond,43.7445068,-73.3295597
MUD (BRAINT),Mud Pond,Braintree,East Central,10,681,1370,,,,Mud Pond Braintree,Pond,43.9897866,-72.698718
MUD (BRIGTN)-W,Mud Pond,Brighton,NE Kingdom,6,19,1250,,,,Mud Pond Brighton,Pond,44.82116,-71.821483
MUD (BRUNWK),Mud Pond,Brunswick,NE Kingdom,5,320,1050,,,,Mud Pond Brunswick,Pond,44.7378277,-71.6709234
MUD (CHARTN),Mud Pond,Charleston,NE Kingdom,4,356,1370,,,,Mud Pond Charleston,Pond,44.8881035,-72.0189862
MUD (CRAFBY),Mud Pond,Craftsbury,North Central,35,422,868,7,,NATURAL,Mud Pond Craftsbury,Pond,44.6383845,-72.3942744
MUD (EDEN),Mud Pond,Eden,North Central,1,38,1190,,,,Mud Pond Eden,Pond,44.6981054,-72.5198344
MUD (EHAVEN),Mud Pond,East Haven,NE Kingdom,5,45,1830,,,,Mud Pond East Haven,Pond,44.5997763,-71.8156479
MUD (GRANBY),Mud Pond,Granby,NE Kingdom,55,2128,1537,,,NATURAL,Mud Pond Granby,Pond,44.5797769,-71.7381461
MUD (GRNSBO)-E,Mud Pond,Greensboro,North Central,9,1357,1470,,,,Mud Pond Greensboro,Pond,44.5781081,-72.3531619
MUD (GRNSBO)-SW,Mud Pond,Greensboro,North Central,5,70,1210,,,,Mud Pond Greensboro,Pond,44.58,-72.35
MUD (HOLLND),Mud Pond,Holland,NE Kingdom,14,359,1510,,,,Mud Pond Holland,Pond,44.9367139,-72.0281531
MUD (HYDEPK),Mud Pond,Hyde Park,North Central,14,177,1170,,,,Mud Pond Hyde Park,Pond,44.605885,-72.5034444
MUD (IRASBG),Mud Pond,Irasburg,NE Kingdom,5,243,1210,,,,Mud Pond Irasburg,Pond,44.7822708,-72.2409367
MUD (LEICTR),Mud Pond,Leicester,West Central,23,290,569,10,,NATURAL,Mud Pond Leicester,Pond,43.88,-73.08
MUD (LOWELL),Mud Pond,Lowell,North Central,2,26,1650,,,,Mud Pond Lowell,Pond,44.73,-72.47
MUD (MARSFD),Mud Pond,Marshfield,North Central,,,,,,,Mud Pond Marshfield,Pond,44.2775598,-72.3395451
MUD (MORGAN)-N,Mud Pond,Morgan,NE Kingdom,35,1205,1489,3,,NATURAL,Mud Pond Morgan ,Pond,44.9172696,-72.0448202
MUD (ORWELL),Mud Pond,Orwell,West Central,10,106,670,,,,Mud Pond Orwell,Pond,43.7658956,-73.2701144
MUD (PEACHM),Mud Pond,Peacham,North Central,34,318,1548,4,,NATURAL with ARTIFICIAL CONTROL,Mud Pond Peacham,Lake (Artificial Control),44.3072818,-72.2125974
MUD (PERU),Mud Pond,Peru,Green Mtn South,10,371,1410,,,,Mud Pond Peru,Pond,43.2228532,-72.8706551
MUD (SHEFLD),Mud Pond,Sheffield,North Central,5,58,1710,,,,Mud Pond Sheffield,Pond,44.6783844,-72.1389892
MUD (THETFD),Mud Pond (Forscythie Pond),Thetford,East Central,20,437,599,7,,ARTIFICIAL,Mud Pond Thetford,Reservoir,43.85,-72.25
MUD (WESTMR)-W,Mud Pond,Westmore,NE Kingdom,12,192,1817,,,,Mud Pond Westmore,Pond,44.7711608,-71.9464848
MUD (WOODBY)-SE,Mud Pond,Woodbury,North Central,18,204,1393,,,NATURAL,Mud Pond Woodbury,Pond,44.4875544,-72.3945516
MUD (WOODFD),Mud Pond,Woodford,Green Mtn South,6,23,2230,,,,Mud Pond Woodford,Pond,42.83,-73.03
MUD CREEK,Mud Creek Pond,Alburgh,Champlain ,333,6400,99,,,ARTIFICIAL,Mud Creek Pond Alburgh,Reservoir,44.98,-73.27
MUDD,Mudd Pond,Hubbardton,West Central,20,608,1090,7,,,Mudd Pond Hubbardton,Pond,43.7372864,-73.1462228
MUDDY (NEWBRY),Muddy Pond,Newbury,East Central,3,152,1390,,,,Muddy Pond Newbury,Pond,44.1089531,-72.1667599
MUDDY (RUTLDC),Muddy Pond,Rutland City,West Central,10,448,830,,,,Muddy Pond Rutland City,Pond,43.6297899,-73.0042742
MUSSEY,Unnamed Pond referred to by DEC as Mussey,Rutland Town,West Central,,,750,,,,Mussey Pond Rutland Town,Pond,43.6,-72.95
N.E. DEVELOPERS,Northeast Developers Pond,Wells,West Central,27,417,500,16,,ARTIFICIAL,Northeast Developers Pond Wells,Reservoir,43.43,-73.22
NEAL,Neal Pond,Lunenburg,NE Kingdom,185,5720,1200,35,16,NATURAL with ARTIFICIAL CONTROL,Neal Pond Lunenburg,Lake (Artificial Control),44.4897795,-71.6920327
NELSON (EMONTP),Nelson Pond,East Montpelier,North Central,10,156,1210,,,,Nelson Pond East Montpelier,Pond,44.3183914,-72.525386
NEWARK,Newark Pond,Newark,NE Kingdom,153,554,1832,31,14,NATURAL,Newark Pond Newark,Pond,44.7175509,-71.9823186
NEWPORT CENTER,Unnamed Pond referred to by DEC as Newport Center,Newport Town,NE Kingdom,,,760,,,,Newport Center Pond Newport Town,Pond,44.95,-72.28
NICHOLS,Nichols Pond,Woodbury,North Central,171,2920,1128,109,,NATURAL with ARTIFICIAL CONTROL,Nichols Pond Woodbury,Lake (Artificial Control),44.45,-72.35
NINEVAH,Lake Ninevah,Mount Holly,West Central,171,769,1755,12,6,NATURAL with ARTIFICIAL CONTROL,Lake Ninevah Mount Holly,Lake (Artificial Control),43.47,-72.75
NORFORD,Norford Lake,Thetford,East Central,21,605,985,11,,ARTIFICIAL,Norford Lake Thetford,Reservoir,43.8,-72.3
NORTH (BRISTL),North Pond,Bristol,Champlain ,6,33,2110,,,,North Pond Bristol,Pond,44.1033922,-73.0465064
NORTH (BRKFLD),North Pond,Brookfield,East Central,24,829,1419,17,,NATURAL with ARTIFICIAL CONTROL,North Pond Brookfield,Lake (Artificial Control),44.0481193,-72.6189947
NORTH (CHITDN),North Pond,Chittenden,West Central,3,35,2490,,,,North Pond Chittenden,Pond,43.7486774,-72.8859398
NORTH (WHITHM),North Pond,Whitingham,Green Mtn South,20,229,1810,,,ARTIFICIAL,North Pond Whitingham,Reservoir,42.7550826,-72.8784309
NORTH BENNINGTON,North Bennington Reservoir,Shaftsbury,Green Mtn South,1,934,1410,,,,North Bennington Reservoir Shaftsbury,Reservoir,42.97,-73.15
NORTH HARTLAND,North Hartland Reservoir,Hartland,East Central,215,140800,425,,,ARTIFICIAL,North Hartland Reservoir Hartland,Reservoir,43.62,-72.37
NORTH KING,North King Pond,Woodbury,North Central,3,32,1190,,,,North King Pond Woodbury,Pond,44.42,-72.43
NORTH MONTPELIER,North Montpelier Pond,East Montpelier,North Central,72,32581,703,12,,ARTIFICIAL,North Montpelier Pond East Montpelier,Reservoir,44.32,-72.45
NORTH SPRINGFIELD,North Springfield Reservoir,Springfield,East Central,290,101120,475,,,ARTIFICIAL,North Springfield Reservoir Springfield,Reservoir,43.35,-72.5
NORTH ST. ALBANS,"St. Albans Reservoir, North",Fairfax,Champlain ,35,1036,745,28,13,ARTIFICIAL,"St. Albans Reservoir, North Fairfax",Reservoir,44.77,-73.07
NORTH UNDERHILL,Unnamed Pond referred to by DEC as North Underhill,Underhill,Champlain ,12,1123,850,,,,North Underhill Pond Underhill,Pond,44.6,-72.93
NORTON,Norton Pond,Norton,NE Kingdom,583,11142,1335,30,10,NATURAL with ARTIFICIAL CONTROL,Norton Pond Norton,Lake (Artificial Control),44.93,-71.87
NOTCH,Notch Pond,Ferdinand,NE Kingdom,22,500,1555,26,,NATURAL,Notch Pond Ferdinand,Pond,44.7406056,-71.7173137
